"ALL GROUPS","ALL GROUPS",module,MagePsycho_GroupSwitcherPro
"Customer Group","Customer Group",module,MagePsycho_GroupSwitcherPro
"Group Code","Group Code",module,MagePsycho_GroupSwitcherPro
"Add New","Add New",module,MagePsycho_GroupSwitcherPro
Production,Production,module,MagePsycho_GroupSwitcherPro
Development,Development,module,MagePsycho_GroupSwitcherPro
Dropdown,Dropdown,module,MagePsycho_GroupSwitcherPro
"Group Selector Pro v","Group Selector Pro v",module,MagePsycho_GroupSwitcherPro
" by"," by",module,MagePsycho_GroupSwitcherPro
"Need help? See our ","Need help? See our ",module,MagePsycho_GroupSwitcherPro
Blog,Blog,module,MagePsycho_GroupSwitcherPro
" or send enquiries via"," or send enquiries via",module,MagePsycho_GroupSwitcherPro
"Contact form","Contact form",module,MagePsycho_GroupSwitcherPro
" Got feedback? "," Got feedback? ",module,MagePsycho_GroupSwitcherPro
"Email us","Email us",module,MagePsycho_GroupSwitcherPro
"You can find more extension in our ","You can find more extension in our ",module,MagePsycho_GroupSwitcherPro
Store,Store,module,MagePsycho_GroupSwitcherPro
"Need Support? Contact us","Need Support? Contact us",module,MagePsycho_GroupSwitcherPro
"* Required Fields","* Required Fields",module,MagePsycho_GroupSwitcherPro
"Account Information","Account Information",module,MagePsycho_GroupSwitcherPro
"Change Email","Change Email",module,MagePsycho_GroupSwitcherPro
"Change Password","Change Password",module,MagePsycho_GroupSwitcherPro
"Change Email and Password","Change Email and Password",module,MagePsycho_GroupSwitcherPro
Email,Email,module,MagePsycho_GroupSwitcherPro
"Current Password","Current Password",module,MagePsycho_GroupSwitcherPro
"New Password","New Password",module,MagePsycho_GroupSwitcherPro
"Password Strength","Password Strength",module,MagePsycho_GroupSwitcherPro
"No Password","No Password",module,MagePsycho_GroupSwitcherPro
"Confirm New Password","Confirm New Password",module,MagePsycho_GroupSwitcherPro
Save,Save,module,MagePsycho_GroupSwitcherPro
"Go back","Go back",module,MagePsycho_GroupSwitcherPro
"Personal Information","Personal Information",module,MagePsycho_GroupSwitcherPro
"Sign Up for Newsletter","Sign Up for Newsletter",module,MagePsycho_GroupSwitcherPro
"Address Information","Address Information",module,MagePsycho_GroupSwitcherPro
Company,Company,module,MagePsycho_GroupSwitcherPro
"Phone Number","Phone Number",module,MagePsycho_GroupSwitcherPro
"Street Address","Street Address",module,MagePsycho_GroupSwitcherPro
Address,Address,module,MagePsycho_GroupSwitcherPro
"Street Address %1","Street Address %1",module,MagePsycho_GroupSwitcherPro
City,City,module,MagePsycho_GroupSwitcherPro
State/Province,State/Province,module,MagePsycho_GroupSwitcherPro
"Please select a region, state or province.","Please select a region, state or province.",module,MagePsycho_GroupSwitcherPro
"Zip/Postal Code","Zip/Postal Code",module,MagePsycho_GroupSwitcherPro
Country,Country,module,MagePsycho_GroupSwitcherPro
"Sign-in Information","Sign-in Information",module,MagePsycho_GroupSwitcherPro
Password,Password,module,MagePsycho_GroupSwitcherPro
"Confirm Password","Confirm Password",module,MagePsycho_GroupSwitcherPro
"Create an Account","Create an Account",module,MagePsycho_GroupSwitcherPro
Back,Back,module,MagePsycho_GroupSwitcherPro
label,label,module,MagePsycho_GroupSwitcherPro
