Articles,Articles
"Add New Article","Add New Article"
Save,Save
"Save & Close","Save & Close"
"Create Category","Create Category"
"General Information","General Information"
Title,Title
Text,Text
"URL Key","URL Key"
"Is Active","Is Active"
No,No
Yes,Yes
"Sort Order","Sort Order"
Author,Author
Tags,Tags
Rating,Rating
"Number of Votes","Number of Votes"
"Meta Information","Meta Information"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
ID,ID
Active,Active
"Created At","Created At"
"Updated At","Updated At"
Delete,Delete
"Are you sure?","Are you sure?"
Categorys,Categorys
"Add New Category","Add New Category"
"Save Category","Save Category"
"Delete Category","Delete Category"
Reset,Reset
"New Category","New Category"
"Display Mode","Display Mode"
Default,Default
Extended,Extended
"Store View","Store View"
"Category Data","Category Data"
General,General
"Add Subcategory","Add Subcategory"
"Add Root Category","Add Root Category"
Root,Root
"start typing to search category","start typing to search category"
Categories,Categories
Settings,Settings
List,List
Date,Date
Home,Home
"Go to Home Page","Go to Home Page"
"Search Results","Search Results"
"Search results for: '%1'","Search results for: '%1'"
"Tags List","Tags List"
"Tag %1","Tag %1"
"Knowledge Base","Knowledge Base"
"New Article","New Article"
"Article was successfully deleted","Article was successfully deleted"
"Edit Article '%1'","Edit Article '%1'"
"The article does not exist.","The article does not exist."
"Please select article(s)","Please select article(s)"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Article was successfully saved","Article was successfully saved"
"Unable to find article to save","Unable to find article to save"
"You deleted the category.","You deleted the category."
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","Manage Categories"
"Category is not available for requested store.","Category is not available for requested store."
"There was a category move error. %1","There was a category move error. %1"
"There was a category move error.","There was a category move error."
"You moved the category","You moved the category"
"You saved the category.","You saved the category."
"Thank you for your vote!","Thank you for your vote!"
"-- Please Select --","-- Please Select --"
[GLOBAL],[GLOBAL]
"Item move operation is not possible: the new parent category was not found.","Item move operation is not possible: the new parent category was not found."
"Item move operation is not possible: the current category was not found.","Item move operation is not possible: the current category was not found."
"Item move operation is not possible: parent category is equal to child category.","Item move operation is not possible: parent category is equal to child category."
"Disable comments","Disable comments"
"We cannot determine the field name.","We cannot determine the field name."
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"Show on Categories","Show on Categories"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"ID: %1","ID: %1"
"This operation can take a long time","This operation can take a long time"
"Collapse All","Collapse All"
"Expand All","Expand All"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
" posted this at "," posted this at "
"There are no articles available for this category","There are no articles available for this category"
Categories:,Categories:
Tags:,Tags:
"Was this article helpful?","Was this article helpful?"
"%1 out %2 found this helpful","%1 out %2 found this helpful"
"You and %1 people found this helpful.","You and %1 people found this helpful."
"You found this helpful.","You found this helpful."
View,View
"What can we help you with?","What can we help you with?"
"Search by","Search by"
"All Tags","All Tags"
"The are no Tags","The are no Tags"
"Warning message","Warning message"
Ok,Ok
Cancel,Cancel
"Choose existing category.","Choose existing category."
"Base URL","Base URL"
"Enable Articles Rating","Enable Articles Rating"
"Enable SEO Friendly URLs","Enable SEO Friendly URLs"
"Limit of article's links on category view page","Limit of article's links on category view page"
"Hide article's author","Hide article's author"
Provider,Provider
"Disqus Shortname","Disqus Shortname"
"Category Name","Category Name"
"Parent Category","Parent Category"
